Title,Publication Year,Author,Genre,Average Rating,Number of Ratings,Number of Pages,Language,Currently Reading,Want to Read,Rank
When No One Is Watching,2020,Alyssa Cole,Thriller,3.49,102866,352.0,English,8193.0,191000.0,210
To Have and to Hoax,2020,Martha Waters,Romance,3.38,19210,367.0,English,1068.0,30100.0,211
The Takeover,2020,T.L. Swan,Romance,4.4,123476,477.0,English,17000.0,57600.0,212
Dear Emmie Blue,2020,Lia Louis,Romance,4.1,19712,312.0,English,1001.0,31800.0,213
The Vanished Birds,2020,Simon Jimenez,Science Fiction,4.07,8806,391.0,English,581.0,35700.0,214
Long Range,2020,C.J. Box,Mystery,4.41,22432,384.0,N/A,6266.0,5342.0,215
Godshot,2020,Chelsea Bieker,Fiction,3.77,10161,325.0,English,728.0,33900.0,216
Apeirogon,2019,Colum McCann,Fiction,4.25,23994,15.0,English,5822.0,44400.0,217
The Knockout Queen,2020,Rufi Thorpe,Fiction,3.71,13106,277.0,N/A,529.0,25600.0,218
"Dark Towers: Deutsche Bank, Donald Trump, and an Epic Trail of Destruction",2020,David Enrich,Nonfiction,3.97,5262,432.0,English,1967.0,6387.0,219
The Rivals,2020,Vi Keeland,Romance,4.02,30150,353.0,English,2193.0,25900.0,220
Majesty,2020,Katharine McGee,Romance,3.75,75748,374.0,English,2578.0,43800.0,221
The Fire Never Goes Out: A Memoir in Pictures,2020,N.D. Stevenson,Graphic Novels,4.02,8531,198.0,English,118.0,15700.0,222
Hush,2020,Dylan Farrow,Fantasy,3.41,2648,374.0,English,162.0,11600.0,223
A Very Stable Genius: Donald J. Trump's Testing of America,2020,Philip Rucker,Politics,4.1,12458,480.0,English,8630.0,11800.0,224
Home Body,2020,Rupi Kaur,Poetry,4.06,139859,192.0,English,4088.0,128000.0,225
When the Tiger Came Down the Mountain,2020,Nghi Vo,Fantasy,4.17,16584,128.0,English,354.0,18900.0,226
"Love, Creekwood",2020,Becky Albertalli,Young Adult,3.62,12688,128.0,English,315.0,13300.0,227
Alone in the Wild,2020,Kelley Armstrong,Mystery,4.2,9502,369.0,English,560.0,4667.0,228
A Very Punchable Face,2020,Colin Jost,Memoir,4.2,58508,312.0,English,2210.0,49900.0,229
All the Stars and Teeth,2020,Adalyn Grace,Fantasy,3.66,34368,380.0,English,2123.0,137000.0,230
A Children's Bible,2020,Lydia Millet,Fiction,3.72,37933,224.0,English,2274.0,41300.0,231
